text,label,Claim,Source
"There is clear, compelling evidence that many of the major conclusions of the IPCC, your new religions constantly-changing Holy Book, are based on evidence that has been fabricated. The hockey stick graph that purported to abolish the mediaeval warm period is just one example.",conspiracy theory,5.3.2,CARDS
"For most of the Holocene (last 10k years), sea level has been rising at a rate of around 2mm per year. Climate change has little to do with it - it's simply a long term inevitability which will end when the current interglacial returns to a glacial period (which we will regret).",single cause,2.1.4,hamburg_test1
"China, which hosts U.N. climate talks next week for the first time, is promoting what it calls ambitious plans to boost energy efficiency and curb emissions. But its supercharged growth means even with rapid efficiency gains it cancels out other global efforts to combat climate change.",impossible expectations,4.2.6,CARDS
"And the fabricated documents (which Dr. Mann apparently still thinks is factual) which lead to the sort of misinformation Dr. Mann uses, are here:",conspiracy theory,5.3.2,CARDS
It's going to be 42 here today and the hottest summer on record was iirc 1934 so not sure how global warming works into it.,single cause,2.1.4,hamburg_test3
"The global warming crisis emerged from a belief that small rises in CO 2 concentrations result in large knock-on effects, or strong positive feedbacks. These remain conjectural, as the forcings and feedbacks are poorly understood. Just how much of an effect does a rise in CO 2 have a little, or a lot? Hence the importance of new and better studies in the area of climate science dealing with attribution.",slothful induction,3.1,CARDS
"Donald Trump has called climate change a fabrication on the part of ""the Chinese in order to make U.S. manufacturing non-competitive.""",conspiracy theory,5.3.1,jindev
"It is significantly colder globally, colder even than the significant drop to -0.046C seen in January 2008.",anecdote,1.3,CARDS
Another issue was the move of weather stations from suburban to urban locations a couple of decades ago in order to hook to the Internet and a change of their housing design from wooden to metal boxes. This supposedly increased temps and started to cause climate change alarm.,misrepresentation,5.1.3,hamburg_test3
Many of these fear mongers also say we should stop burning fossil fuels that are causing this mayhem.,ad hominem,5.2,jintrain
"Ramping up wind power to 10, 20, or 30% of U.S. electricity production would likely increase annual bat kills to 10-to-30 million every year.",cherry picking,4.4.1,jindev
Since Arrhenius made his forecast of warmth in Chicago Illinois temperatures have plummeted and are the coldest on record this year. They peaked in 1921,anecdote,1.3,CARDS
